region,ISO,month 1  death rate,month 8  death rate,month 9  death rate,month 10  death rate,month 11  death rate,month 12  death rate,death rate 6mo agg
AGO.1.3,AGO,0.7472808603036873,-0.8706986005184914,-1.2013125762403936,-0.33810709792516613,0.2180012753546964,0.5399677571200826,-0.9048683819055846
AGO.1.4,AGO,0.6799282445520474,-0.8104976313597063,-1.1998173434054418,-0.35815153999138527,0.17967708356143144,0.5073680247083212,-1.0014931619347334
AGO.1.5,AGO,-0.08078879159076102,-1.7053794316545943,-2.0827404353161216,-0.8993249490864264,-0.41612127589667014,-0.3273351219295575,-5.511690005474131
AGO.10.79,AGO,-1.6723503965606126,-0.034300432243525934,-0.39649899430726304,-0.2472484912148237,-1.27054633402741,-1.9288153879993368,-5.549760036352972
AGO.10.80,AGO,-1.7223345872622806,0.012474379922930693,-0.6334732464942585,-0.38389832558458475,-1.2749878819221323,-2.1023071211424,-6.104526782482726
AGO.10.81,AGO,-1.5273507489160847,-0.08086721950767078,-0.8582633240725701,-0.3663106042880083,-0.9056570542739925,-1.7702139118996072,-5.508662862957934
AGO.10.82,AGO,-1.4005844201980546,0.8071540781428448,-0.04555052250168959,-0.09362276984025447,-0.8166869316223672,-1.6964295586373503,-3.2457201246568714
AGO.10.83,AGO,-1.5028890062167437,0.3421516042737848,-0.11280550327283122,-0.10909662064889583,-1.0249356513990124,-1.7127394845504635,-4.120314661814162
AGO.10.84,AGO,-1.4937044896561127,0.5015831220297974,-0.5099794196825495,-0.14460933626255779,-0.6771694893484247,-1.677393283335379,-4.001272896255227
AGO.10.85.280,AGO,-1.434493910560262,-0.4660994106019588,-1.014253606052612,-0.4531671373008461,-0.9379569521217042,-1.6083949560839574,-5.91436597272134
AGO.10.86,AGO,-0.964527831565103,0.9117166911165291,0.07840139400911413,-0.19142271033063218,-0.282915576623485,-0.9238555057315943,-1.3726035391251712
AGO.10.87,AGO,-1.263197735402003,0.506171874357095,0.00456672191768784,-0.1481551560389652,-0.6635677784299236,-1.3403263383357302,-2.904508411931839
AGO.10.88,AGO,-1.3444439583875774,-0.4868433477093609,-0.8182140936542931,-0.3830675965263531,-0.9580502257519665,-1.4642996845527085,-5.454918906582259
AGO.10.89,AGO,-0.7920307313259625,0.8144613507871521,-0.0030418541015526913,-0.1712989136996258,-0.13448412895726153,-0.7062205064879755,-0.9926147837852259
AGO.10.90,AGO,-1.521131467918289,-0.2544708923883774,-0.7791774287254509,-0.3992967149526966,-1.09196143113828,-1.7867341686993508,-5.832772103822444
AGO.10.91.297,AGO,-1.426134137961644,0.7942330974905026,-0.13086698741932729,-0.03569542983934657,-0.7577350664741781,-1.7473037436016712,-3.3035022678056647
AGO.11.100,AGO,0.8864005403464023,-0.6348970434943858,-1.076288471424091,-0.325017328661029,0.24872175154745407,0.6317008629730485,-0.269379688712601
AGO.11.92,AGO,1.030761676793216,-0.7245888015807305,-1.0552283686857595,-0.21885578238467546,0.34281190917877663,0.7231109580608125,0.09801159138163962
AGO.11.93,AGO,1.0758258967540124,-0.7299442218392018,-1.0538312808051398,-0.20037453228096092,0.36996780227165155,0.7602175802558981,0.22186124435625953
AGO.11.94,AGO,0.696542398710589,-0.6859862613733778,-1.065591471296994,-0.3559220998346384,0.14140983788069375,0.4479091223375627,-0.8216384735761648
AGO.11.95.309,AGO,0.8921993870336706,-0.7085335306535158,-1.0595248550670548,-0.27568140036875033,0.2593136190527277,0.6090163995891694,-0.28321038041375324
AGO.11.96,AGO,0.5821110029789629,-0.6727998364510309,-1.0691396087506773,-0.40285144760148067,0.0724529523702666,0.3536843655650406,-1.1365425718889186
AGO.11.97,AGO,1.0327723909274964,-0.7248280042383849,-1.0551660671040493,-0.21803119653521433,0.3440235639139593,0.724766608155867,0.10353729511967424
AGO.11.98,AGO,0.5979897578791395,-0.5903129614706065,-1.044101356858556,-0.4140090269271943,0.07180319035398601,0.3841628835285463,-0.9944675134946852
AGO.11.99,AGO,0.9831900964663994,-0.7190196141851481,-1.0567035007884982,-0.23836527113249445,0.31414503016064166,0.6839397058023676,-0.03281355367673211
AGO.12.101,AGO,-0.4144799695394307,0.1326062901995652,0.02265085438570303,-0.202992594666214,-0.3749674373445707,-0.5854534698669672,-1.4226363268319144
AGO.12.102,AGO,-1.0126658569523395,-0.7636938776422677,-0.1715262496025069,-0.37004590395171677,-0.9472728082406762,-1.1370688122911294,-4.402273508680636
AGO.12.103,AGO,-1.0979445765425864,-0.6438997988126633,-0.3320180047355494,-0.46325529736463283,-0.9574883479354237,-1.106464353822534,-4.60107037921339
AGO.12.104,AGO,-0.5743634681071033,-0.0810550139387912,-0.163385213868219,-0.27332489090201656,-0.5185965334689426,-0.682460380926917,-2.2931855012119895
AGO.12.105,AGO,-0.7039038855785046,-0.4981503218752008,-0.09199554957574929,-0.2523297592249999,-0.5918438931787852,-0.6760842156810271,-2.8143076251142665
AGO.12.106,AGO,-0.9196761596478834,-0.37864976324565475,-0.2895463475647338,-0.39123383838159115,-0.8691072704484544,-0.9860580514393487,-3.834271430727666
AGO.12.107,AGO,-1.2110389311610594,-0.6477290365679417,-0.22088530509384335,-0.44051733147463945,-1.0762165409319149,-1.2802704268757155,-4.876657572105115
AGO.12.108,AGO,-0.746279850275605,-0.21792692920390566,-0.1129755493018465,-0.28206293845352715,-0.6252271222547476,-0.8522000374152002,-2.836672426904832
AGO.12.109,AGO,-0.6021683501261708,-0.5577887761550497,-0.012088892885343948,-0.16309709603092554,-0.5888041038808228,-0.7089256696405576,-2.6328728887188704
AGO.13.110,AGO,-1.0665711947083862,-0.6189844878137849,-0.27798110094889533,-0.38159244267439624,-1.047259576451725,-1.3158548910087462,-4.708243693605934
AGO.13.111,AGO,-0.8476054640528273,-0.1549453887330948,-0.0806413229969799,-0.12775898138652966,-0.6662118903292029,-1.053844671988365,-2.9310077194869995
AGO.13.112,AGO,-0.5362123383436781,-0.038696557518740404,0.2275711758821283,-0.014358248367698046,-0.24648815765151952,-0.7200793872389303,-1.3282635132384382
AGO.13.113,AGO,-0.7331442975233693,-0.1830702850279374,-0.02944102176173413,-0.20008563260630977,-0.634976038583935,-0.8790550898242188,-2.6597723653275045
AGO.14.114,AGO,-1.211168965326531,-2.02301876349109,-1.8476555471533571,-1.2409270907989565,-1.1551337348489672,-1.0707965025883157,-8.548700604207216
AGO.14.115,AGO,-1.037469629410783,-1.3826742110484587,-1.1430767557495172,-0.8028038233844721,-0.8838850169607698,-0.9026767861134252,-6.152586222667426
AGO.14.116,AGO,-0.8113437078666966,-0.8220968645343314,-0.4013542062344354,-0.360938217778945,-0.8757276342062348,-0.9927612405854088,-4.264221871206052
AGO.14.117,AGO,-1.1096361765015523,-1.3236569076681253,-0.9704054570756417,-0.7502099376708845,-1.1303590955300664,-1.0970703399853075,-6.381337914431578
AGO.14.118,AGO,-0.6960711411286072,-1.0097074799351924,-0.45397889417496023,-0.24747756527763673,-0.5395733594133049,-0.5685837543709741,-3.515392194300675
AGO.14.119,AGO,-0.9183095531360704,-1.1618649852563157,-0.753246635755157,-0.5722063613466112,-0.8264166046608865,-0.8014497176381968,-5.033493857793237
