region,ISO,month 1  total deaths,month 8  total deaths,month 9  total deaths,month 10  total deaths,month 11  total deaths,month 12  total deaths,total deaths 6mo agg
AFG.30.R922e0ff47dc73fe9,AFG,-0.8166801270579794,-0.534458148528025,-0.7988144766929929,-3.3941380048622523,-3.733857128369034,-0.8264620015404422,-10.104409887050725
AFG.31.R2cddadc8171d5232,AFG,-0.23220278119589108,-4.045940714328607,-1.4918373372451639,-0.9118102101255412,-1.2151673829524334,-0.42743663927747105,-8.324395065125106
AFG.31.R7533cfa7af80b230,AFG,-0.5010299082552553,-6.354502514032724,-3.699014545782102,-2.8146843816871945,-1.9903451301746717,-0.5795444096517764,-15.939120889583723
AFG.32,AFG,-0.2996303466848528,-0.6055460955837262,-1.944777803566055,-3.446809763749643,-3.5996820872720723,-1.0105180271757557,-10.906964124032106
AFG.4.43,AFG,-1.865838400660532,-1.8966840411995889,-2.900835976288015,-6.552969305943609,-3.1738124401423624,-2.740843786043137,-19.130983950277244
AFG.4.R441976f1984e9d4c,AFG,-6.723346090267551,-15.002201664354072,-6.366538889865043,-18.677861908388703,-9.649232920862149,-9.803419383197559,-66.22260085693507
AFG.4.Rba8a6cb92a71a1fe,AFG,-3.0965920261181434,-6.988104005313278,-2.1783028978358665,-8.388111022271392,-3.3783109937828364,-4.045944741272665,-28.075365686594182
AFG.5,AFG,-0.6031525662780635,-4.169278394695222,-0.9004912949115058,-1.538652960794884,-2.243433919697165,-0.8762099486061224,-10.331219084982964
AFG.6.R97eede2b941f822e,AFG,-2.858408255404242,-4.3919033182542355,1.4959285177148178,-1.883295297647785,-6.145394803117638,-3.65033965214954,-17.433412808858623
AFG.6.Re2476cb25c1b5dba,AFG,-5.009112789342582,-14.747231887607349,3.836441883981888,-2.2813880019956447,-9.653009555100443,-6.493802087553024,-34.34810243761715
AFG.7.68,AFG,-1.146384437400926,0.370362911063757,-2.701955603405609,-4.207674781190926,-2.6674916450350494,-1.7394262216267158,-12.092569777595468
AFG.7.R1be1903632a37179,AFG,-5.3027087555903485,-0.9411321117865041,-3.6319633095994672,-12.402374920170905,-7.933397323591859,-7.8115478489843975,-38.02312426972348
AFG.7.Ra67230a12297e143,AFG,-1.7218296916274778,0.0030790049926912033,-9.384311420781156,-10.515128980792634,-6.0176115914396915,-2.3622487284635865,-29.998051408111856
AFG.8.77,AFG,-0.36259997942408406,-2.888049797300449,-2.208486133734617,-1.918637294646387,-1.007234980160946,-0.29800619198925643,-8.683014377255738
AFG.8.80,AFG,-0.3748404349354874,-2.9871072483569643,-2.2824273828241046,-1.982231036487903,-1.0408994796673192,-0.30673123954909864,-8.974236821820876
AFG.8.R1033466054322fbc,AFG,-0.005818950037112653,-6.484060845627276,-4.139906943397466,-2.9006758928979655,-3.219800055028532,-1.2213438319470686,-17.971606518935417
AFG.8.R8c0fc5f856580948,AFG,-0.8252430739030318,-7.6575017317397105,-5.361799218540917,-4.276465387609769,-2.441339351046602,-0.7921494929882889,-21.354498255828318
AFG.9.R2de58211a39a05c4,AFG,-0.30651294005639357,2.3755411905711536,0.17787746944897967,-4.418535279123354,-3.7665561816815845,0.37885504436468087,-5.559330696476518
AFG.9.Reee7d1f78893e50f,AFG,-0.8809947855080716,-1.553010683371232,-2.751241022391877,-3.4078659629459827,-2.9067513634822473,-0.22284097410151085,-11.72270479180092
AGO.1.1,AGO,0.15492959739611642,-0.1928992287562783,-0.20732641842009614,-0.042805792343013904,0.05573838388531419,0.0990457529067707,-0.13331770533118706
AGO.1.2,AGO,2.9644804228771333,-2.4764318498929256,-3.1853340342780303,-0.4972481377141929,1.039540041902895,2.063052465046336,-0.09194109205878442
AGO.1.3,AGO,1.7869427553986867,-2.0820666485422845,-2.872650591117395,-0.8085019452267495,0.5212977079386693,1.2912032449787179,-2.163775476570355
AGO.1.4,AGO,0.6124371893865559,-0.7300459943113927,-1.0807210429338532,-0.32260069247645456,0.1618419722011018,0.45700564659097187,-0.9020829215430711
AGO.1.5,AGO,-0.05697266724130711,-1.2026422597331903,-1.4687591612008997,-0.6342085338477305,-0.29345084283201867,-0.230838394916877,-3.8868718597720235
AGO.10.79,AGO,-5.242970007656509,-0.10753496269221754,-1.2430602698419626,-0.7751464205968278,-3.9832778682886514,-6.04701099146739,-17.39900052054356
AGO.10.80,AGO,-6.877506225978966,0.04981182298705022,-2.529541140830566,-1.532955991174563,-5.09119259452686,-8.39478601980544,-24.376170149329344
AGO.10.81,AGO,-5.358594948238087,-0.28371654267324636,-3.011152163900227,-1.2851731372225936,-3.1774294930701847,-6.210662044941444,-19.326728330045782
AGO.10.82,AGO,-3.641690815069465,2.0986993360264576,-0.1184369303440923,-0.24343065372696673,-2.123485921152737,-4.410924363437071,-8.439269347703874
